premise,hypothesis,label,lang_abv
a boy with no shirt is standing in water .,the man is a farmer,1,en
city with four men on bikes serving as the focal point of picture .,a man is trying to get a picture of his wife .,1,en
a crowd walks about a square at night with smoke or fog drifting over them .,a man is playing with a guitar .,1,en
a young boy in a hood climbs a red slide sitting on a red and green check background .,the woman is a professional photographer .,1,en
a man in a purple jersey is falling down while chasing a player in a green jersey playing soccer,a man is playing a guitar .,1,en
a male guitar player is vigorously singing a not to a song in a poorly lit room .,the man is a professional surfer .,1,en
two people standing behind a son display and a woman with a stroll on the other side .,a man is standing on a sidewalk .,1,en
a white dog next to a basement window .,a man is playing a guitar .,1,en
"a man and woman talk to another woman , all looking concerned , in a room being decorated with stream and balloons .",the man is wearing a hat .,1,en
a man with a half mask over his face is holding a toy helicopter in his left hand and a controller in is his right hand .,the man is a professional musician .,1,en
shipyard workers are standing around .,a man is wearing a hat .,1,en
"a woman , standing behind a girl , helping the girl with an experiment .",the man is a professional surfer .,1,en
a man plays a piano painted with an image of a woman on it .,a man is playing a guitar .,1,en
a brown and white dog swim in a backyard swimming pool .,a man is in the middle of a race .,1,en
a wet child stands in chest deep ocean water .,a man is playing a guitar solo .,1,en
a player on the red soccer team has just scored a goal while the opposing team watches the ball go in .,a man is sitting on a bench .,1,en
"four men and three women , all in their beach attire , hang around a small cliff by the ocean as one man is about to dive into",the woman is at a party .,1,en
two dogs run across the woods .,a man is trying to get a picture of his wife .,1,en
a snow making a big jump doing a trick on a high mountain .,a man is wearing a hat and a hat .,1,en
a man talking into a microphone with a woman standing next to him .,the man is a professional musician .,1,en
a young man wearing k pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background .,a man is waiting for his wife to come home .,1,en
several people talk and drink beer while sitting around a picnic table .,a man is reading a book while holding a microphone .,1,en
a fisherman using a cell on a boat .,a man is waiting for his wife to come home .,1,en
four men in the forest move a cannon down the path .,a man is playing a game .,1,en
three people on ski are standing behind a no skiing sign .,a man is playing a guitar .,1,en
a man in a black shirt working on a guitar .,a man is playing a guitar .,1,en
a caucasian woman stands with her back to the camera while completing a transaction at an atm machine .,a man is playing a guitar .,1,en
a woman in a gray sweater talking to another woman in a black jacket .,the man is a professional musician .,1,en
some people are relaxing in front of a large red building .,the man is a professional musician .,1,en
small girl in an apron placing con in a woman ' s hair .,a man is walking to work .,1,en
a professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch .,the man is a professional musician .,1,en
"two women are speaking to each other , one sitting and facing away , while the other is standing in a white office .",the man is a professional surfer .,1,en
a lone snow jumping in mid with a snow covered mine in the background,a man is riding a bike .,1,en
a soldier using binoculars in a desert .,a man is wearing a hat .,1,en
"a person with blue hair , a baseball cap , and a hood on stands outdoors in a crowd .",the man is a professional musician .,1,en
two kids in their pajamas .,a man is playing a guitar .,1,en
"two beautiful , little girls with dark hair and dark complexion are sitting down eating cup .",the man is a professional photographer .,1,en
three people are standing on a lit stage while groups of people sitting at tables face them .,a man is getting ready to go on a trip .,1,en
man in leather jacket and scarf sits on purple cushion at a party .,the man is a professional skate .,1,en
three adults are working in a garden near a fence in the yard .,the man is a woman .,1,en
the man in the black shirt is showing the man in the orange shirt something that he has for sale .,the man is a professional surfer .,1,en
pedestrian walking on the street,a man is trying to get a picture of his wife .,1,en
"a man who wears glasses , a blue shirt and a chicago white sox cap holds a young boy who also wears a blue shirt .",the man is a professional skate .,1,en
"two guys playing soccer , one in red and the other in blue .",the man is a professional surfer .,1,en
the man in the dark maroon shirt is kicking something .,a man is playing a guitar .,1,en
"two men in polo shirts , reading the paper .",a man is playing a guitar .,1,en
a man is holding an accordion while leaning against a brown fence that overlook some water .,the man is a professional surfer .,1,en
woman standing in a store with an item in hand .,a man is taking a break from work .,1,en
two women are laughing and smiling while they eat a meal together .,a man is playing a guitar .,1,en
