premise,hypothesis,label,lang_abv
a man is holding a cigarette outdoors in front of a blue wall with a sink on it .,the man is sitting down .,2,en
a man wearing black carving stone .,a woman is sitting on a bench .,2,en
the man in the white shirt holds up a playing card .,a man is sitting on a bench .,2,en
three men are working with their bikes in the shoulder of a road .,the woman is wearing a blue shirt .,2,en
two men in orange uniforms stand before a train and do some work .,a man is sitting on a bench .,2,en
a man waiting in an airport terminal writes on a piece of paper as others are seen behind .,the man is wearing a blue shirt .,2,en
"the dog is in snow , and has a stick in its mouth .",a man is sitting in a chair .,2,en
little boy peering into a glass display case .,a woman is sitting in a chair .,2,en
"people are coming down a mo staircase built through a tunnel , which has three of those staircase .",the man is wearing a blue shirt .,2,en
a cart of large water containers is in front of two women who are standing as well as two women who are walking down the street .,a man is sitting on a bench .,2,en
a woman is taking a picture on the shoulders of another woman in cold weather .,a woman is sitting on a bench .,2,en
two men with gray beard share a laugh while enjoying the nice weather .,the man is wearing a pink shirt .,2,en
a solo cyclist is riding down a windy road .,a man is sitting in a chair .,2,en
"a couple is sitting down smiling , with the woman linking arms with the man .",a man is playing with a fr .,2,en
a golfer shoots his ball out of a sand trap .,a man is sitting in a cafe .,2,en
a candi photo of a young lady sitting at a restaurant table .,a woman is sitting on a bench .,2,en
three men drink at a reflective bar .,the woman is wearing a blue shirt .,2,en
a beautiful bride walking on a sidewalk with her new husband .,a woman is sitting in a chair .,2,en
boy in red and black shirt walks through grass .,a man is swimming in the ocean .,2,en
"two men in suits standing in front of a bus , one is wearing a medal .",the man is sitting on a bench .,2,en
three people are walking on a beach .,a man is sitting in a chair .,2,en
"by a table with several boxes and two coffee cups on it , a woman in a green sweater is opening a small box and another person (",a man is sitting in a chair .,2,en
"a group of people , one of which is a woman with a large white and colorful purse , wait to board a large white and blue bus",a man is sitting in a chair .,2,en
a white woman waiting in line .,a woman is sitting on a bench .,2,en
a young girl in a riding outfit is sitting on a horse holding a teddy bear .,a man is sitting in a chair .,2,en
woman reading a book with a grocery to .,a man is sitting in a chair .,2,en
two belly dancers perform with each other in the streets while pass look on and watch the display .,a woman is sitting on a bench .,2,en
a man takes a picture of another two men in a crowd .,the man is sitting in a chair .,2,en
asian individuals are taking pictures of some unidentified thing .,a man is sitting on a bench .,2,en
a young male wearing a blue hat turned backwards and slightly sideways with a cigarette in his mouth .,a man is sitting in a chair .,2,en
a group of men on a beach are chasing another man who is carrying a ball .,the man is sitting on a bench .,2,en
a man wearing a white shirt and a blue jeans reading a newspaper while standing,the man is standing on the sidewalk .,2,en
a younger man dressed in tribal attire .,a man is sleeping .,2,en
a group of students are walking through the campus .,a man is wearing a blue shirt .,2,en
a man dressed in all white and wearing a white hat stands on a sidewalk next to a building .,the woman is wearing a red shirt .,2,en
"a man wearing a white shirt and a hat , riding his bike , makes an obscene gesture to the photographer",a woman is sitting in a chair .,2,en
a guy taking a nap in the back of a vehicle .,the man is wearing a blue shirt .,2,en
a businessman in a white sweater conducts necessary business in a plaza using a concrete abu as a work table .,a man is sitting on a bench .,2,en
the small dog is running across the lawn .,the man is wearing a blue shirt .,2,en
"a man , with a blue wrapping around his foot , is about to kick another man , with a red cloth hanging from his belt , in",the people are sitting in a restaurant .,2,en
a young girl poses with a trophy in the park .,the man is wearing a blue shirt .,2,en
a crowd watching a skate .,a man is sitting on a bench .,2,en
"a barefoot man in an orange shirt , shorts , and a baseball cap is sitting on the open tail of a silver pickup truck .",a man is sitting in a chair .,2,en
