premise,hypothesis,label,lang_abv
in our town of five thousand we have one that is uh local fm am station and their news is fed from cnn too uh it ' s,the,2,en
"although claims data provide the most accurate information about health care use , ensuring adequate follow - up for purposes of obtaining information from patient self - report",the,0,en
these traditional low - drafted craft pl effortlessly and quietly through the water guided by their experienced pilots .,the,0,en
isn ' t it i can remember i ' ve only been here eight years but i can remember coming to work from i used to live in,,2,en
"13 executive effectively implementing the government performance and results act ( gao / g - 96 - 118 , june 1996 ) .",the,2,en
"in short , this is a whole new costing area that would need to be undertaken .",,0,en
the most recent attraction at the pyramid complex is a small museum housing the remains of a solar bar ( a cedar long ) which was,the,2,en
he could make quite an issue out of the need to determine the characteristic imp of their sky .,,2,en
"it is housed in a mart a series of such towers , some 12 m ( 40 ft ) high and 2 . 5 m ( 8",,2,en
"more detailed implementation plans also will be necessary to address business system , processes , and resource issues .",the,0,en
"but there are two kinds of the pleasure of doing , and the pleasure of not doing ; the pleasure of ind , and the pleasure",,2,en
"using a three development planning process , managers assess their current capabilities , determine their specific development needs , and build and execute a development plan",you can,0,en
1 ) fbi intelligence files indicate that democratic fund - raise maria hs has been a chinese agent .,the,2,en
yeah it ' s just a matter of education i think,the,2,en
"until the late ' 60s , the senate was def to the ( many fewer ) presidential nominees .",the,0,en
looking at that and you know and if it ' s if it ' s funny or if it keeps my interest if it ' s exciting i,the,2,en
"in japan , main shi criticized the new liberal democratic party leader kei ob for being devoid of fresh ideas for rev",,2,en
""" so your girl writes that your little farewell activity didn ' t fare so well , eh ? "" he cho .",,0,en
i don ' t know .,the,2,en
"wagon said the program not only will benefit the needy , but also will help improve the public image of lawyers .",a,1,en
kentucky officials say there is a virtual epidemic of abusive relationships in the state .,,2,en
""" if you people only knew how fatally easy it is to poison some one by mistake , you wouldn ' t joke about it .",,1,en
"to assist programs with implementing these web sites , the northwest justice project and pro in new york are hiring two full - time circuit",the,0,en
too bad it chose to use mcintyre instead .,the,1,en
i am surprised though that we do have so many that are in politics down here,the,2,en
the questions may need to be tailored to,,0,en
"as long as ass lives , he can manage these troubles and keep an agreement with israel .",the,1,en
"in addition , dublin tourism has devised and sign three self - guided walking tours of the city , which you can follow using the booklet",,1,en
"or sherlock holmes ? """,the,0,en
et number of del was ne .,the,1,en
eighty percent of page in the united states were knocked out by a satellite mal in space .,,2,en
we always knew it was an outside chance .,,0,en
i am so constituted as to be unable to give away money with any satisfaction until i have made the most careful inquiry as to the worth,the,0,en
"previously , at the request of the republican ranking minority member of the house committee on government operations , gao reviewed activities of president clinton task force",the,0,en
"therefore , the number of boiler may actually grow more quickly than what was assumed .",it,2,en
and uh really they ' re about it they ' ve got a guy named herb williams that that i guess sort of was supposed to take the,the,2,en
hm oh is oh that ' s great uh - huh do you get the full benefits,the,1,en
this man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in europe or the middle,the,0,en
"unless the report is restricted by law or regulation , auditor should ensure that copies be made available for public inspection .",the,1,en
"yet , in the mouths of the white towns of salisbury , n . c . , it sounds convincing .",the,1,en
i think that the people that are um have um a lower income which you automatically e with lower education,the,2,en
football and baseball and,the,0,en
and uh i know what nothing is when i moved out there,,0,en
is there adequate information for judging general ?,the,1,en
"in this respect , bringing steve jobs back to save apple is like bringing gen .",the,0,en
exactly and when i ' m sitting here on the sofa cross - stitch and all of a sudden somebody a man ' s got their hand,the,1,en
i lay awake waiting until i judged it must be about two o ' clock in the morning .,the,2,en
"ran toward us rather slowly , like people finishing their run .",the,1,en
regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and,the,0,en
so it was traumatic .,the,1,en
there should be someone here who knew more of what was going on in this world than he did now .,the,2,en
"thus , the net scale benefit is initially positive , whether or not we adjust for the wage premium .",the,1,en
there and they uh they in fact they had this was in uh the late twenties and they in fact used some of the equipment that had been,the,0,en
"my bottom line is that i would recommend the book to students and colleagues and i hope it does well , despite its anti - intellectual p .",the,2,en
oh like if they say i i we just type it in like that,it,1,en
mel,,1,en
"this historically renowned freshwater lake , known both as the sea of galilee and lake kin ( meaning a harp , after its shape ) ,",the,1,en
"there is nothing more to be done here , i think , unless , he stared earnest and long at the dead ashes in the gr",the,0,en
( it may resemble dungeons & amp,not,1,en
"in the case of speech , fis appears to believe that the reason the american public is less en than he would wish it to",,2,en
